time,Mach,Altitude,alpha,beta,dl,dm,dn,PARA1,PARA2,PARA3
0,0.10302669,150,-20.0091172,-4.43322117,-2.59864417,20,4.87654329,41.9399876,739.319312,0.931681633
0.5,0.247188719,179.393521,-3.64602256,1.80956344,-2.78552592,3.64602256,-1.99051979,58.1359118,792.489688,0.931681633
1,0.396480498,233.364927,1.2453806,2.33096572,-2.91570239,-1.2453806,-2.56406229,74.3148323,730.248901,0.931681633
1.5,0.551133703,312.742945,0.396621984,0.959755694,-2.98652356,-0.396621984,-1.05573126,91.519372,772.270632,0.931681633
2,0.711390771,418.362487,0.607012081,-0.497608065,-2.99654774,-0.607012081,0.547368871,108.604593,650.181837,0.931681633
2.5,0.876918364,551.065985,1.3373894,-1.01044035,-2.94557084,-1.3373894,1.11148438,127.527204,798.223378,0.931681633
3,1.04529142,711.484511,0.0278182091,-0.553723731,-2.83463061,-0.0278182091,0.609096104,146.090334,771.254041,0.931681633
3.5,1.21652929,899.737053,-1.32709593,0.209556055,-2.66598548,1.32709593,-0.230511661,164.932347,760.734653,0.931681633
4,1.3980005,1116.48671,-1.37374175,0.586444734,-2.44306857,1.37374175,-0.645089207,184.748253,752.365859,0.931681633
4.5,1.59136391,1363.30694,-1.74609688,0.378846951,-2.17041783,1.74609688,-0.416731646,206.414112,776.707949,0.931681633
5,1.79425289,1641.35861,-2.38722294,-0.0879180312,-1.85358364,2.38722294,0.0967098344,228.739318,781.112153,0.931681633
5.5,2.00691206,1951.33445,-2.05586443,-0.363980515,-1.49901584,2.05586443,0.400378566,252.34018,726.665783,0.931681633
6,2.23054926,2294.20005,-1.49476446,-0.268585221,-1.11393239,1.49476446,0.295443743,276.403295,768.071587,0.931681633
6.5,2.46648051,2671.22604,-1.42721949,0.0282137286,-0.706172495,1.42721949,-0.0310351015,302.620875,791.168915,0.931681633
7,2.71630243,3083.61212,-1.13304785,0.229973987,-0.284036963,1.13304785,-0.252971386,330.282431,796.88319,0.931681633
7.5,2.98201444,3532.95998,-0.624393084,0.190553058,0.143880742,0.624393084,-0.209608364,359.442034,807.95986,0.931681633
8,3.26596002,4021.488,-0.55322948,0.00105951789,0.56886945,0.55322948,-0.00116546968,391.357005,763.767462,0.931681633
8.5,3.57099374,4551.27748,-0.61156824,-0.142933385,0.982277616,0.61156824,0.157226723,424.39636,703.848413,0.931681633
9,3.90069109,5124.47276,-0.458143668,-0.131630927,1.37568944,0.458143668,0.14479402,461.277348,784.709856,0.931681633
9.5,4.25950575,5743.98319,-0.446916484,-0.0134290219,1.7410962,0.446916484,0.0147719241,500.382538,708.878474,0.931681633
10,4.22926562,6381.90517,-0.595490633,0.0938648245,2.07105926,0.595490633,-0.103251307,497.278838,827.023171,0.931681633
10.5,4.20041292,7007.68953,-0.628101724,0.106077515,2.35886152,0.628101724,-0.116685267,493.949826,732.682168,0.931681633
11,4.17531523,7622.0656,-0.612661239,0.0221005854,2.59864417,0.612661239,-0.0243106439,491.309734,747.777528,0.931681633
11.5,4.15362312,8225.80796,-0.761787102,-0.0730959834,2.78552592,0.761787102,0.0804055817,488.918096,822.082425,0.931681633
12,4.13501523,8819.26208,-0.873074172,-0.0931867863,2.91570239,0.873074172,0.102505465,486.842005,810.737888,0.931681633
12.5,4.11924714,9402.8204,-0.825746165,-0.0277706266,2.98652356,0.825746165,0.0305476893,485.056332,754.364819,0.931681633
13,4.10610052,9977.16199,-0.853770108,0.056007758,2.99654774,0.853770108,-0.0616085338,483.490223,678.371061,0.931681633
13.5,4.09535415,10542.7875,-0.956379615,0.0812719433,2.94557084,0.956379615,-0.0893991377,482.376598,753.746208,0.931681633
14,4.08188356,11100.0313,-0.929004052,0.0311593885,2.83463061,0.929004052,-0.0342753273,481.001281,824.175549,0.931681633
14.5,4.04193088,11649.4225,-0.889231375,-0.0420165064,2.66598548,0.889231375,0.046218157,476.380861,692.240578,0.931681633
15,4.00436461,12191.505,-0.986008767,-0.0703797657,2.44306857,0.986008767,0.0774177423,472.289832,764.590614,0.931681633
15.5,3.96892195,12726.5858,-1.05938602,-0.0328228275,2.17041783,1.05938602,0.0361051102,468.791081,709.427386,0.931681633
16,3.9353895,13254.9612,-1.06492631,0.0306089085,1.85358364,1.06492631,-0.0336697993,464.44593,746.06516,0.931681633
16.5,3.90356848,13776.9729,-1.17728241,0.0605024988,1.49901584,1.17728241,-0.0665527487,461.547687,750.875843,0.931681633
17,3.87327806,14292.817,-1.35210322,0.0332020261,1.11393239,1.35210322,-0.0365222287,458.387906,634.535583,0.931681633
17.5,3.84437368,14802.6084,-1.44708615,-0.0213767201,0.706172495,1.44708615,0.0235143921,454.918362,753.607524,0.931681633
18,3.81672863,15306.5247,-1.56208976,-0.0516432581,0.284036963,1.56208976,0.0568075839,451.613753,885.929514,0.931681633
18.5,3.79021884,15804.7175,-1.76130048,-0.0326567993,-0.143880742,1.76130048,0.0359224792,448.695997,813.54719,0.931681633
19,3.76474089,16297.2658,-1.90513321,0.0139688548,-0.56886945,1.90513321,-0.0153657403,445.91117,805.903969,0.931681633
